_key,name,Pivot Field Values,followers,popularity
0u2FHSq3ln94y5Q57xazwf,Keith Urban,Chillout & Relaxation,5218140,66
4BYxqVkZyFjtik7crYLg5Q,Chris Young,Chillout & Relaxation,2784879,63
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,Chillout & Relaxation,7245241,68
6ktyNEnEukKzskQEiXgCFD,Craig Morgan,Chillout & Relaxation,1036076,54
6pBNfggcZZDCmb0p92OnGn,Chase Rice,Chillout & Relaxation,1121367,57
2qgvmDsc4jrqbAbjq1HGM2,Rodney Atkins,Chillout & Relaxation,1917757,58
0XKOBt59crntr7HQXXO8Yz,Brooks & Dunn,Chillout & Relaxation,2777035,67
6ghiFYcwn2Vzl6K50U0UPz,Michael Ray,Chillout & Relaxation,501474,50
79FMDwzZQxHgSkIYBl3ODU,Trace Adkins,Chillout & Relaxation,2588961,57
55RI2GNCfyXr0f14uIdhwd,A Thousand Horses,Indie/Alternative Vibes,74290,37
55RI2GNCfyXr0f14uIdhwd,A Thousand Horses,Chillout & Relaxation,74290,37
070kGpqtESdDsLb3gdMIyx,Easton Corbin,Chillout & Relaxation,952941,55
60gmlHZmT16wiO9GiXKYK9,Chris Janson,Chillout & Relaxation,335757,57
5nki7yRhxgM509M5ADlN1p,Oliver Heldens,Global Sounds,1014904,65
5nki7yRhxgM509M5ADlN1p,Oliver Heldens,Indie/Alternative Vibes,1014904,65
5nki7yRhxgM509M5ADlN1p,Oliver Heldens,Electronic/Dance Beats,1014904,65
7qAcXJgt1PWnxwUgxMdyuk,Sick Puppies,Indie/Alternative Vibes,893583,54
7qAcXJgt1PWnxwUgxMdyuk,Sick Puppies,Global Sounds,893583,54
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,Indie/Alternative Vibes,30115028,84
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,Hip-Hop & Rap Essentials,30115028,84
21E3waRsmPlU7jZsS13rcj,Ne-Yo,Indie/Alternative Vibes,8421356,76
21E3waRsmPlU7jZsS13rcj,Ne-Yo,Electronic/Dance Beats,8421356,76
21E3waRsmPlU7jZsS13rcj,Ne-Yo,Hip-Hop & Rap Essentials,8421356,76
5ndkK3dpZLKtBklKjxNQwT,B.o.B,Electronic/Dance Beats,2118399,70
5ndkK3dpZLKtBklKjxNQwT,B.o.B,Global Sounds,2118399,70
5ndkK3dpZLKtBklKjxNQwT,B.o.B,Hip-Hop & Rap Essentials,2118399,70
3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,Indie/Alternative Vibes,1268498,63
3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,Electronic/Dance Beats,1268498,63
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,Global Sounds,6750992,77
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,Hip-Hop & Rap Essentials,6750992,77
0DgsuiMZylmPOYkrVOqNYQ,Storm Queen,Global Sounds,16556,38
0c173mlxpT3dSFRgMO8XPh,Big Sean,Global Sounds,11176993,74
0c173mlxpT3dSFRgMO8XPh,Big Sean,Hip-Hop & Rap Essentials,11176993,74
0c173mlxpT3dSFRgMO8XPh,Big Sean,Rock Classics,11176993,74
00sAT5YX8W3xNd1EuqyHw9,Dada Life,Indie/Alternative Vibes,420701,48
00sAT5YX8W3xNd1EuqyHw9,Dada Life,Electronic/Dance Beats,420701,48
00sAT5YX8W3xNd1EuqyHw9,Dada Life,Chillout & Relaxation,420701,48
0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Global Sounds,4910298,68
0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Rock Classics,4910298,68
5LHRHt1k9lMyONurDHEdrp,Tyga,Global Sounds,6916298,77
5LHRHt1k9lMyONurDHEdrp,Tyga,Hip-Hop & Rap Essentials,6916298,77
4zxvC7CRGvggq9EWXOpwAo,Kiesza,Indie/Alternative Vibes,293806,51
4zxvC7CRGvggq9EWXOpwAo,Kiesza,Electronic/Dance Beats,293806,51
3iOvXCl6edW5Um0fXEBRXy,The xx,Indie/Alternative Vibes,3881335,64
3iOvXCl6edW5Um0fXEBRXy,The xx,Chillout & Relaxation,3881335,64
7e1BNCygl2Gf7CX8LrByPv,Ummet Ozcan,Indie/Alternative Vibes,496074,57
7e1BNCygl2Gf7CX8LrByPv,Ummet Ozcan,Electronic/Dance Beats,496074,57
7e1BNCygl2Gf7CX8LrByPv,Ummet Ozcan,Chillout & Relaxation,496074,57
1MWyFWQ7erF4XjLph84x5J,C-Trox,Indie/Alternative Vibes,13967,30
